16:38:13.693565 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667096:667252, ack 361, win 313, length 156
16:38:13.693632 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667252:667408, ack 361, win 313, length 156
16:38:13.693694 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667408:667564, ack 361, win 313, length 156
16:38:13.693783 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667564:667720, ack 361, win 313, length 156
16:38:13.693863 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667720:667876, ack 361, win 313, length 156
16:38:13.693980 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 667876:668032, ack 361, win 313, length 156
16:38:13.694087 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668032:668188, ack 361, win 313, length 156
16:38:13.694171 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668188:668344, ack 361, win 313, length 156
16:38:13.694261 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668344:668500, ack 361, win 313, length 156
16:38:13.694344 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668500:668656, ack 361, win 313, length 156
16:38:13.694428 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668656:668812, ack 361, win 313, length 156
16:38:13.694508 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668812:668968, ack 361, win 313, length 156
16:38:13.694597 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 668968:669124, ack 361, win 313, length 156
16:38:13.694684 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669124:669280, ack 361, win 313, length 156
16:38:13.694778 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669280:669436, ack 361, win 313, length 156
16:38:13.694848 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669436:669592, ack 361, win 313, length 156
16:38:13.694930 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669592:669748, ack 361, win 313, length 156
16:38:13.694996 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669748:669904, ack 361, win 313, length 156
16:38:13.695075 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 669904:670060, ack 361, win 313, length 156
16:38:13.695172 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670060:670216, ack 361, win 313, length 156
16:38:13.695286 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670216:670372, ack 361, win 313, length 156
16:38:13.695388 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670372:670528, ack 361, win 313, length 156
16:38:13.695479 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670528:670684, ack 361, win 313, length 156
16:38:13.695590 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670684:670840, ack 361, win 313, length 156
16:38:13.695679 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670840:670996, ack 361, win 313, length 156
16:38:13.695752 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 670996:671152, ack 361, win 313, length 156
16:38:13.695819 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671152:671308, ack 361, win 313, length 156
16:38:13.695886 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671308:671464, ack 361, win 313, length 156
16:38:13.695953 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671464:671620, ack 361, win 313, length 156
16:38:13.696019 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671620:671776, ack 361, win 313, length 156
16:38:13.696085 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671776:671932, ack 361, win 313, length 156
16:38:13.696150 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 671932:672088, ack 361, win 313, length 156
16:38:13.696219 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672088:672244, ack 361, win 313, length 156
16:38:13.696284 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672244:672400, ack 361, win 313, length 156
16:38:13.696390 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672400:672556, ack 361, win 313, length 156
16:38:13.696473 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672556:672712, ack 361, win 313, length 156
16:38:13.696543 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672712:672868, ack 361, win 313, length 156
16:38:13.696702 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 672868:673024, ack 361, win 313, length 156
16:38:13.696810 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673024:673180, ack 361, win 313, length 156
16:38:13.696883 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673180:673336, ack 361, win 313, length 156
16:38:13.696966 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673336:673492, ack 361, win 313, length 156
16:38:13.697095 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673492:673648, ack 361, win 313, length 156
16:38:13.697212 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673648:673804, ack 361, win 313, length 156
16:38:13.697295 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673804:673960, ack 361, win 313, length 156
16:38:13.697365 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 673960:674116, ack 361, win 313, length 156
16:38:13.697431 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674116:674272, ack 361, win 313, length 156
16:38:13.697499 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674272:674428, ack 361, win 313, length 156
16:38:13.697562 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674428:674584, ack 361, win 313, length 156
16:38:13.697629 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674584:674740, ack 361, win 313, length 156
16:38:13.697692 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674740:674896, ack 361, win 313, length 156
16:38:13.697760 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 674896:675052, ack 361, win 313, length 156
16:38:13.697826 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675052:675208, ack 361, win 313, length 156
16:38:13.697892 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675208:675364, ack 361, win 313, length 156
16:38:13.697958 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675364:675520, ack 361, win 313, length 156
16:38:13.698051 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675520:675676, ack 361, win 313, length 156
16:38:13.698118 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675676:675832, ack 361, win 313, length 156
16:38:13.698184 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675832:675988, ack 361, win 313, length 156
16:38:13.698248 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 675988:676144, ack 361, win 313, length 156
16:38:13.698328 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676144:676300, ack 361, win 313, length 156
16:38:13.698441 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676300:676456, ack 361, win 313, length 156
16:38:13.698543 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676456:676612, ack 361, win 313, length 156
16:38:13.698618 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676612:676768, ack 361, win 313, length 156
16:38:13.698692 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676768:676924, ack 361, win 313, length 156
16:38:13.698756 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 676924:677080, ack 361, win 313, length 156
16:38:13.698823 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 677080:677236, ack 361, win 313, length 156
16:38:13.698888 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 677236:677392, ack 361, win 313, length 156
16:38:13.698956 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 677392:677548, ack 361, win 313, length 156
16:38:13.699036 IP 165.227.42.212.22 > 198.96.85.21.57248: Flags [P.], seq 677548:677704, ack 361, win 313, length 156
16:38:13.710496 IP 198.96.85.21.57248 > 165.227.42.212.22: Flags [P.], seq 361:397, ack 664764, win 4103, length 36
^C
4471 packets captured
4520 packets received by filter
49 packets dropped by kernel
root@lamp-s-1vcpu-1gb-tor1-01:~#
